algorithm,program,bake,erase,position,teredyne
-1,1,-1,1,0,878
-1,-1,1,-1,0,941
1,-1,1,-1,0,944
-1,1,1,1,0,815
-1,-1,-1,-1,0,857
-1,1,1,-1,0,767
1,-1,1,1,0,947
1,-1,-1,-1,0,947
-1,-1,1,1,0,947
1,1,-1,1,0,911
1,1,-1,-1,0,935
1,-1,-1,1,0,950
1,1,1,-1,0,935
-1,-1,-1,1,0,899
1,1,1,1,0,944
-1,1,-1,-1,0,830
-1,1,1,-1,-1,890
1,1,-1,-1,-1,929
1,-1,1,1,-1,926
-1,1,-1,-1,-1,824
1,-1,-1,1,-1,941
-1,-1,1,1,-1,887
1,-1,-1,-1,-1,950
1,1,1,-1,-1,941
-1,-1,-1,1,-1,944
-1,-1,-1,-1,-1,869
-1,-1,1,-1,-1,860
1,-1,1,-1,-1,942
-1,1,-1,1,-1,869
1,1,-1,1,-1,944
1,1,1,1,-1,923
-1,1,1,1,-1,758
-1,-1,-1,1,1,941
1,-1,-1,-1,1,954
-1,-1,-1,-1,1,911
1,-1,1,1,1,950
-1,1,1,1,1,752
-1,1,-1,-1,1,827
1,1,-1,1,1,950
-1,-1,1,-1,1,947
-1,-1,1,1,1,929
1,-1,-1,1,1,950
1,-1,1,-1,1,941
1,1,1,1,1,944
1,1,-1,-1,1,890
-1,1,-1,1,1,797
1,1,1,-1,1,941
-1,1,1,-1,1,905
