measurement_order,trial,operator,part,result
1,1,A,1,3.29
2,1,A,2,2.44
3,1,A,5,2.2
4,1,A,4,3.47
5,1,A,3,4.34
6,1,B,4,3.01
7,1,B,1,3.08
8,1,B,2,2.53
9,1,B,5,2.44
10,1,B,3,4.19
11,1,C,3,3.88
12,1,C,5,1.54
13,1,C,4,3.14
14,1,C,1,3.04
15,1,C,2,1.62
16,2,A,3,4.17
17,2,A,4,3.5
18,2,A,5,2.08
19,2,A,2,2.32
20,2,A,1,3.41
21,2,B,3,3.94
22,2,B,1,3.25
23,2,B,5,1.8
24,2,B,4,4.03
25,2,B,2,1.78
26,2,C,4,3.2
27,2,C,3,4.09
28,2,C,1,2.89
29,2,C,2,1.87
30,2,C,5,1.93
31,3,A,5,2.16
32,3,A,2,2.42
33,3,A,3,4.27
34,3,A,4,3.64
35,3,A,1,3.64
36,3,B,5,1.72
37,3,B,2,2.32
38,3,B,4,3.2
39,3,B,1,3.07
40,3,B,3,4.34
41,3,C,1,2.85
42,3,C,5,1.55
43,3,C,3,3.67
44,3,C,4,3.11
45,3,C,2,2.04
